datetime,open,high,low,close,volume,dec,RD,GS,uptail,downtail,open1,high1,low1,close1,volume1,dec1,RD1,uptail1,downtail1,GS1,open2,high2,low2,close2,volume2,dec2,RD2,uptail2,downtail2,GS2
2021-08-07 08:00:00,2957.09,2980,2944.59,2978.72,125419.799,35.41,21.63,0.000282331819,1.28,12.5,2959.74,2976.56,2947.08,2957.09,97756.6,29.48,-2.65,16.82,10.01,0.000301565316,2969.62,2975.7,2942,2959.74,120581.147,33.7,-9.88,6.08,17.74,0.000279479843
2021-08-07 09:00:00,2978.72,3049.57,2968.43,3042.99,424985.874,81.14,64.27,0.000190923993,6.58,10.29,2957.09,2980,2944.59,2978.72,125419.799,35.41,21.63,1.28,12.5,0.000282331819,2959.74,2976.56,2947.08,2957.09,97756.6,29.48,-2.65,16.82,10.01,0.000301565316
2021-08-07 10:00:00,3042.99,3094,3035.09,3071.97,350311.926,58.91,28.98,0.000168164415,22.03,7.9,2978.72,3049.57,2968.43,3042.99,424985.874,81.14,64.27,6.58,10.29,0.000190923993,2957.09,2980,2944.59,2978.72,125419.799,35.41,21.63,1.28,12.5,0.000282331819
2021-08-07 11:00:00,3071.97,3120,3056.56,3108.1,243590.613,63.44,36.13,0.000260436965,11.9,15.41,3042.99,3094,3035.09,3071.97,350311.926,58.91,28.98,22.03,7.9,0.000168164415,2978.72,3049.57,2968.43,3042.99,424985.874,81.14,64.27,6.58,10.29,0.000190923993
2021-08-07 12:00:00,3108.1,3176,3070,3095.47,738794.994,106,-12.63,0.000143476879,67.9,25.47,3071.97,3120,3056.56,3108.1,243590.613,63.44,36.13,11.9,15.41,0.000260436965,3042.99,3094,3035.09,3071.97,350311.926,58.91,28.98,22.03,7.9,0.000168164415
2021-08-07 13:00:00,3095.46,3130,3055.14,3058.34,398560.012,74.86,-37.12,0.000187826169,34.54,3.2,3108.1,3176,3070,3095.47,738794.994,106,-12.63,67.9,25.47,0.000143476879,3071.97,3120,3056.56,3108.1,243590.613,63.44,36.13,11.9,15.41,0.000260436965
2021-08-07 14:00:00,3058.42,3107.16,3058.42,3085.95,188678.804,48.74,27.53,0.000258322604,21.21,0,3095.46,3130,3055.14,3058.34,398560.012,74.86,-37.12,34.54,3.2,0.000187826169,3108.1,3176,3070,3095.47,738794.994,106,-12.63,67.9,25.47,0.000143476879
2021-08-07 15:00:00,3085.95,3113.08,3068.08,3084.11,147860.488,45,-1.84,0.000304340941,27.13,16.03,3058.42,3107.16,3058.42,3085.95,188678.804,48.74,27.53,21.21,0,0.000258322604,3095.46,3130,3055.14,3058.34,398560.012,74.86,-37.12,34.54,3.2,0.000187826169
2021-08-07 16:00:00,3084.23,3101.37,3000,3093,551040.998,101.37,8.77,0.000183960904,8.37,84.23,3085.95,3113.08,3068.08,3084.11,147860.488,45,-1.84,27.13,16.03,0.000304340941,3058.42,3107.16,3058.42,3085.95,188678.804,48.74,27.53,21.21,0,0.000258322604
2021-08-07 17:00:00,3092.99,3096.01,3032,3052.15,195349.38,64.01,-40.84,0.000327669328,3.02,20.15,3084.23,3101.37,3000,3093,551040.998,101.37,8.77,8.37,84.23,0.000183960904,3085.95,3113.08,3068.08,3084.11,147860.488,45,-1.84,27.13,16.03,0.000304340941
